IDE;NIT. EMPRESA;SUC;;TIPO IDENTIFICACION;CEDULA;APELLIDO 1;APELLIDO 2;NOMBRE 1;NOMBRE 2;FECHA NACIMIENTO;DIRECCION;TELEFONO;ZONA RESIDENCIA;SALARIO;SEXO;ESTADO CIVIL;VENDEDOR;FORMA PAGO;TARJETA;CAT;TIPO AFILIACION;SUBTIPO ;FECHA AFILIACION;FECHA INGRESO;FECHA DIGITO;TIPO CONTRATO;JORNADA LABORAL;TRA_OTRA_EMPRESA;NIT;OTRA EMPRESA;NIV ESTUDIO;EMAIL;SEC. RURAL;CARGO;ESTADO;COD. ESTADO;FECHA;CELULAR;CIUDAD DE RESIDENCIA;SPACER;SPACER;spacer;SEPARADOR;
;;;;CC;7891014;BORNACELLI;;MAYRA;;17/04/207;CALLE 45F # 73 29;3590811;;1000000;MASCULINO;SOLTERO;;;TF-9863;;;;;;;INDEFINIDO;;;;;PROFESIONAL;EMPLEADO3@GMAIL.COM;;ESCRITOR;;;;3158009300;MEDELLIN;;;;;
;;;;CC;7891015;MONTERROSA;;LEONARDO;;17/04/208;CALLE 45F # 73 30;3590811;;1000000;MASCULINO;SOLTERO;;;TF-9864;;;;;;;INDEFINIDO;;;;;PROFESIONAL;EMPLEADO1@GMAIL.COM;;ESCRITOR;;;;3158009300;MEDELLIN;;;;;
;;;;CC;7891016;REYES;;RAFAEL;;17/04/209;CALLE 45F # 73 31;3590811;;1000000;MASCULINO;SOLTERO;;;TF-9865;;;;;;;INDEFINIDO;;;;;PROFESIONAL;EMPLEADO2@GMAIL.COM;;ESCRITOR;;;;3158009300;MEDELLIN;;;;;
;;;;CC;7891017; POSO;;GINA;;17/04/210;CALLE 45F # 73 32;3590811;;1000000;MASCULINO;SOLTERO;;;TF-9866;;;;;;;INDEFINIDO;;;;;PROFESIONAL;EMPLEADO3@GMAIL.COM;;ESCRITOR;;;;3158009300;MEDELLIN;;;;;
;;;;CC;7891018;RO MEDRANO;;JAIRO;;17/04/211;CALLE 45F # 73 33;3590811;;1000000;MASCULINO;SOLTERO;;;TF-9867;;;;;;;INDEFINIDO;;;;;PROFESIONAL;EMPLEADO1@GMAIL.COM;;ESCRITOR;;;;3158009300;MEDELLIN;;;;;
;;;;CC;7891019;DIAZ;;DANIELA;;17/04/212;CALLE 45F # 73 34;3590811;;1000000;MASCULINO;SOLTERO;;;TF-9868;;;;;;;INDEFINIDO;;;;;PROFESIONAL;EMPLEADO2@GMAIL.COM;;ESCRITOR;;;;3158009300;MEDELLIN;;;;;
;;;;CC;7891020;TRIANA;;LAURA;;17/04/213;CALLE 45F # 73 35;3590811;;1000000;MASCULINO;SOLTERO;;;TF-9869;;;;;;;INDEFINIDO;;;;;PROFESIONAL;EMPLEADO3@GMAIL.COM;;ESCRITOR;;;;3158009300;MEDELLIN;;;;;
;;;;CC;7891021;FONSECA;;VIVIANA;;17/04/214;CALLE 45F # 73 36;3590811;;1000000;MASCULINO;SOLTERO;;;TF-9870;;;;;;;INDEFINIDO;;;;;PROFESIONAL;EMPLEADO1@GMAIL.COM;;ESCRITOR;;;;3158009300;MEDELLIN;;;;;
;;;;CC;7891022;HERNANDEZ;;GINA;;17/04/215;CALLE 45F # 73 37;3590811;;1000000;MASCULINO;SOLTERO;;;TF-9871;;;;;;;INDEFINIDO;;;;;PROFESIONAL;EMPLEADO2@GMAIL.COM;;ESCRITOR;;;;3158009300;MEDELLIN;;;;;
;;;;CC;7891006;PEREZ;;MIGUEL ANGEL;;17/04/199;CALLE 45F # 73 21;3590811;;1000000;MASCULINO;SOLTERO;;;TF-9855;;;;;;;INDEFINIDO;;;;;PROFESIONAL;EMPLEADO1@GMAIL.COM;;ESCRITOR;;;;3158009300;MEDELLIN;;;;;
;;;;CC;7891007;JIMENEZ;;LEONARDO;;17/04/200;CALLE 45F # 73 22;3590811;;1000000;MASCULINO;SOLTERO;;;TF-9856;;;;;;;INDEFINIDO;;;;;PROFESIONAL;EMPLEADO2@GMAIL.COM;;ESCRITOR;;;;3158009300;MEDELLIN;;;;;
